1.00,0.00,0.00,0.00,323.00,1333161.00,161.00,1.02,0.38,,,Min,Max,
1.00,0.00,0.00,1.00,338.00,1333124.00,124.00,1.06,0.29,,Days,310.00,338.00,28.00
1.00,0.00,1.00,0.00,310.00,1333439.00,439.00,0.98,1.03,,Deaths,1333124.00,1333591.00,467.00
1.00,0.00,1.00,1.00,310.00,1333458.00,458.00,0.98,1.07,,,,,
1.00,1.00,0.00,0.00,318.00,1333451.00,451.00,1.00,1.06,,,,,
1.00,1.00,0.00,1.00,318.00,1333549.00,549.00,1.00,1.29,,,,,
1.00,1.00,1.00,0.00,317.00,1333430.00,430.00,1.00,1.01,,,,,
1.00,1.00,1.00,1.00,317.00,1333471.00,471.00,1.00,1.10,,,,,
1.00,2.00,0.00,0.00,318.00,1333406.00,406.00,1.00,0.95,,,,,
1.00,2.00,0.00,1.00,318.00,1333492.00,492.00,1.00,1.15,,,,,
1.00,2.00,1.00,0.00,317.00,1333410.00,410.00,1.00,0.96,,,,,
1.00,2.00,1.00,1.00,317.00,1333454.00,454.00,1.00,1.06,,,,,
1.00,3.00,0.00,0.00,318.00,1333387.00,387.00,1.00,0.91,,,,,
1.00,3.00,0.00,1.00,318.00,1333455.00,455.00,1.00,1.07,,,,,
1.00,3.00,1.00,0.00,317.00,1333398.00,398.00,1.00,0.93,,,,,
1.00,3.00,1.00,1.00,317.00,1333439.00,439.00,1.00,1.03,,,,,
1.00,4.00,0.00,0.00,318.00,1333376.00,376.00,1.00,0.88,,,,,
1.00,4.00,0.00,1.00,318.00,1333437.00,437.00,1.00,1.02,,,,,
1.00,4.00,1.00,0.00,318.00,1333389.00,389.00,1.00,0.91,,,,,
1.00,4.00,1.00,1.00,318.00,1333432.00,432.00,1.00,1.01,,,,,
2.00,0.00,0.00,0.00,323.00,1333161.00,161.00,1.02,0.38,,,,,
2.00,0.00,0.00,1.00,324.00,1333136.00,136.00,1.02,0.32,,,,,
2.00,0.00,1.00,0.00,310.00,1333426.00,426.00,0.98,1.00,,,,,
2.00,0.00,1.00,1.00,310.00,1333437.00,437.00,0.98,1.02,,,,,
2.00,1.00,0.00,0.00,318.00,1333506.00,506.00,1.00,1.18,,,,,
2.00,1.00,0.00,1.00,318.00,1333565.00,565.00,1.00,1.32,,,,,
2.00,1.00,1.00,0.00,317.00,1333434.00,434.00,1.00,1.02,,,,,
2.00,1.00,1.00,1.00,317.00,1333478.00,478.00,1.00,1.12,,,,,
2.00,2.00,0.00,0.00,318.00,1333451.00,451.00,1.00,1.06,,,,,
2.00,2.00,0.00,1.00,318.00,1333504.00,504.00,1.00,1.18,,,,,
2.00,2.00,1.00,0.00,317.00,1333427.00,427.00,1.00,1.00,,,,,
2.00,2.00,1.00,1.00,318.00,1333457.00,457.00,1.00,1.07,,,,,
2.00,3.00,0.00,0.00,318.00,1333422.00,422.00,1.00,0.99,,,,,
2.00,3.00,0.00,1.00,318.00,1333469.00,469.00,1.00,1.10,,,,,
2.00,3.00,1.00,0.00,317.00,1333416.00,416.00,1.00,0.97,,,,,
2.00,3.00,1.00,1.00,317.00,1333445.00,445.00,1.00,1.04,,,,,
2.00,4.00,0.00,0.00,318.00,1333406.00,406.00,1.00,0.95,,,,,
2.00,4.00,0.00,1.00,318.00,1333445.00,445.00,1.00,1.04,,,,,
2.00,4.00,1.00,0.00,318.00,1333408.00,408.00,1.00,0.96,,,,,
2.00,4.00,1.00,1.00,318.00,1333436.00,436.00,1.00,1.02,,,,,
3.00,0.00,0.00,0.00,323.00,1333161.00,161.00,1.02,0.38,,,,,
3.00,0.00,0.00,1.00,323.00,1333140.00,140.00,1.02,0.33,,,,,
3.00,0.00,1.00,0.00,310.00,1333422.00,422.00,0.98,0.99,,,,,
3.00,0.00,1.00,1.00,310.00,1333424.00,424.00,0.98,0.99,,,,,
3.00,1.00,0.00,0.00,318.00,1333545.00,545.00,1.00,1.28,,,,,
3.00,1.00,0.00,1.00,318.00,1333576.00,576.00,1.00,1.35,,,,,
3.00,1.00,1.00,0.00,317.00,1333447.00,447.00,1.00,1.05,,,,,
3.00,1.00,1.00,1.00,317.00,1333469.00,469.00,1.00,1.10,,,,,
3.00,2.00,0.00,0.00,318.00,1333480.00,480.00,1.00,1.12,,,,,
3.00,2.00,0.00,1.00,318.00,1333528.00,528.00,1.00,1.24,,,,,
3.00,2.00,1.00,0.00,318.00,1333441.00,441.00,1.00,1.03,,,,,
3.00,2.00,1.00,1.00,318.00,1333467.00,467.00,1.00,1.09,,,,,
3.00,3.00,0.00,0.00,318.00,1333451.00,451.00,1.00,1.06,,,,,
3.00,3.00,0.00,1.00,318.00,1333486.00,486.00,1.00,1.14,,,,,
3.00,3.00,1.00,0.00,317.00,1333431.00,431.00,1.00,1.01,,,,,
3.00,3.00,1.00,1.00,318.00,1333456.00,456.00,1.00,1.07,,,,,
3.00,4.00,0.00,0.00,318.00,1333430.00,430.00,1.00,1.01,,,,,
3.00,4.00,0.00,1.00,318.00,1333463.00,463.00,1.00,1.08,,,,,
3.00,4.00,1.00,0.00,318.00,1333420.00,420.00,1.00,0.98,,,,,
3.00,4.00,1.00,1.00,318.00,1333448.00,448.00,1.00,1.05,,,,,
4.00,0.00,0.00,0.00,323.00,1333161.00,161.00,1.02,0.38,,,,,
4.00,0.00,0.00,1.00,324.00,1333137.00,137.00,1.02,0.32,,,,,
4.00,0.00,1.00,0.00,310.00,1333420.00,420.00,0.98,0.98,,,,,
4.00,0.00,1.00,1.00,310.00,1333414.00,414.00,0.98,0.97,,,,,
4.00,1.00,0.00,0.00,318.00,1333569.00,569.00,1.00,1.33,,,,,
4.00,1.00,0.00,1.00,318.00,1333591.00,591.00,1.00,1.38,,,,,
4.00,1.00,1.00,0.00,317.00,1333457.00,457.00,1.00,1.07,,,,,
4.00,1.00,1.00,1.00,317.00,1333473.00,473.00,1.00,1.11,,,,,
4.00,2.00,0.00,0.00,318.00,1333506.00,506.00,1.00,1.18,,,,,
4.00,2.00,0.00,1.00,318.00,1333535.00,535.00,1.00,1.25,,,,,
4.00,2.00,1.00,0.00,318.00,1333449.00,449.00,1.00,1.05,,,,,
4.00,2.00,1.00,1.00,318.00,1333480.00,480.00,1.00,1.12,,,,,
4.00,3.00,0.00,0.00,318.00,1333470.00,470.00,1.00,1.10,,,,,
4.00,3.00,0.00,1.00,318.00,1333507.00,507.00,1.00,1.19,,,,,
4.00,3.00,1.00,0.00,318.00,1333446.00,446.00,1.00,1.04,,,,,
4.00,3.00,1.00,1.00,318.00,1333463.00,463.00,1.00,1.08,,,,,
4.00,4.00,0.00,0.00,318.00,1333451.00,451.00,1.00,1.06,,,,,
4.00,4.00,0.00,1.00,318.00,1333478.00,478.00,1.00,1.12,,,,,
4.00,4.00,1.00,0.00,318.00,1333435.00,435.00,1.00,1.02,,,,,
4.00,4.00,1.00,1.00,318.00,1333455.00,455.00,1.00,1.07,,,,,
